Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1931. Медпункт 1эт (предлагаю так и оставить) -> ;1эт магазины Медпункт;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;торговая галерея (западная сторона, от центрального холла в сторону 4й секции):;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1922. Магазин (1) - одежда Zasport -> ;1эт магазин Спорт одежда;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1924. Магазин (1) - одежда Diamond -> ;1эт магазин Одежда;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1925. Магазин (1) – продукты -> ;1эт магазин Продукты;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1926. Магазин (1) - одежда и обувь Sport & Beach -> ;1эт магазин Спорт обувь;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1928. Магазин (1) - пустой, не используется -> ;1эт магазин Одежда;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1929. Магазин (1) - цветочный магазин ->;1эт магазин Цветы;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;торг. галерея;1930. Магазин – Аптека -> ;1эт магазины Аптека;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Админкорпус;8.2.2;РМ-4К задать Начальное положение - включено;;28.11.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;22.2.153-156;РМ-4К задать всем 4 реле: Начальное положение - включено;;28.11.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Админкорпус;8.2.2;админкорпус - 227. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.162;Хрустальный - 90. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.164;подвал бассейнов - 215. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.165;подвал бассейнов - 73. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.2.119;-2 эт СК - 40. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.2.134;-2 эт СК - 40. Внести эталонное значение в РМку.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"зону ПО № 259 ""коммутационная ниша"" обозвать как ""Подполье 2 этажа, [1-4] секция"" - разбей, пожалуйста, на 4 секции, а то охрана там заблудится :(";;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.10-12;"ИП-64 14.1.10-12 числятся за зоной ""259. коммутационная ниша"" - закрепить за зоной ""254. 2 эт 1 секц коридор"" (извещатели перенесли, а принадлежность осталась)";;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"ИП-64 23.2.28 над морозильной камерой в коридоре цоколя корпуса ресторанов, почему-то привязан к зоне ""40102 Кондитерский цех"". Нужно привязать к зоне коридора № 40106.";;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"Сценарий 322 обозвать как ""Запуск ... 3 секция""";;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"Сценарий 320 обозвать как ""Запуск ... 4 секция""";;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;в № 1022 ИПД-РК 2.2.108 вместо с/н 1225007 установлен новый с с/н 1285602, заведи его как положено;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;табло - либо переадресовываем, либо переносим к МРК и двигаем на визуализации:;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;7.1.194;2эт ОПС-РК 7.1.194 отвязать от МРК 7.1.173-194 и привязать к МРК 16.1.121-138 вместо УДП 16.1.139, а УДП сделать 16.1.148 после РМ-4 16.1.144-147. Перенести на визуализации от ИПР 7.1.197 к УДП 7.1.196.;;23.08.2022;на выполнение;переадресовать;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.119;3эт № 369. Перенести табло 16.1.119 от ИПР 7.1.166 к УДП 7.1.165;;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.159;4эт ОПС-РК 10.2.159 отвязать от МРК 10.2.138 и привязать к МРК 16.1.81-98 (99-УДП, 100-свободен) - УДП перенести с .99 на .100. На визуализации табло перенести от ИПР 10.2.162 к УДП 10.2.161;;23.08.2022;на выполнение;переадресовать;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.211;7 эт ОПС-РК 1.2.211 отвязать от МРК 1.2.190 и привязать к МРК 1.1.91-104 (УДП .105 можно перенести на .215-.238);;23.08.2022;на выполнение;переадресовать;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.211;7 эт ОПС-РК 1.2.211 на визуализации перенести табло от № 705 к № 716 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.177;8 эт ОПС-РК 1.2.177 отвязать от МРК 1.2.156 и привязать к МРК 1.1.76-89 (УДП .90 можно перенести на .215-.238);;23.08.2022;на выполнение;переадресовать;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.177;8 эт ОПС-РК 1.2.177 на визуализации перенести табло от № 805 к № 816 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.154;9 эт ОПС-РК 1.2.154 переподключить с МРК 1.2.133 на МРК 1.1.61-73 (УДП .74 можно перенести на .215-.238);;23.08.2022;на выполнение;переадресовать;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.154;9 эт ОПС-РК 1.2.154 на визуализации перенести табло от № 905 к № 916 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;6.2.196;ОПС-РК возле № 969 перенести на визуализации от ИПР 10.2.25 к УДП 10.2.24. Как это табло .196 может быть подключено к МРК .195?;;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.131;10эт ОПС-РК 1.2.131 переподключить с МРК 1.2.110 на МРК 1.1.46-58 (УДП .59 можно перенести на .215-.238);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.131;10эт ОПС-РК 1.2.131 на визуализации перенести табло от № 1005 к № 1016 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.108;11эт ОПС-РК 1.2.108 переподключить с МРК 1.2.87 на МРК 1.1.31-43 (УДП .44 можно перенести на .215-.238);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.108;11эт ОПС-РК 1.2.108 на визуализации перенести табло от № 1105 к № 1116 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.45;14эт ОПС-РК 1.2.45 отвязать от МРК 1.2.24-45 и привязать к МРК 2.1.93-104 (.105 свободен);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.45;14эт ОПС-РК 1.2.45  на визуализации перенести табло от № 1405 к № 1416 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.22;15эт ОПС-РК 1.2.22 переподключить с МРК 1.2.1 на МРК 1.1.1-13 (МДУ .14 и УДП .15 можно перенести на .215-.238);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.22;15эт ОПС-РК 1.2.22 на визуализации перенести табло от № 1505 к № 1516 (служ.лифт);;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"Можно изменить надписи типа ""Табло N этаж"" на ""ОПС-РК [адрес]"" ?";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.1.165;ИПД-РК возле № 319 - потеря связи, исправить сер№ на 0001227818. Проверить настройки РК.;;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.2.150;ИП-29 15.2.150 цоколь СК, Мамины пельмешки - поднять температуру 62->72(можно до 85?) и отключить градиент;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.2.4 - 5;ИП-29 21.2.4 и 5 цоколь СК, Самурай кухня - поднять температуру 62->72(можно до 85?) и отключить градиент;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.2.88;ИП-29 32.2.88 бассейн, Центр массажа - поднять температуру 62->72(можно до 85?) и отключить градиент;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.197-198, 208;ИП-29 31.2.197-198, 208 коридор кухни Хрустального - поднять температуру 62->72(можно до 85?) и отключить градиент;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Ресторан Хрустальный. Добавить в конфигурацию ИЗ-1, задать ему свободный адрес (31.2.229) и на визуализации расположить между 31.2.17 и 18.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Ресторан Хрустальный. Сдвинуть 31.2.17,18,229 правее на линию ИП-29 31.2.195-196.;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
